date	price
2022-01-01	4.9489
2022-01-02	4.9478
2022-01-03	4.9482
2022-01-04	4.9474
2022-01-05	4.9464
2022-01-06	4.9434
2022-01-07	4.9454
2022-01-08	4.9450
2022-01-09	4.9441
2022-01-10	4.9453
2022-01-11	4.9446
2022-01-12	4.9440
2022-01-13	4.9438
2022-01-14	4.9432
2022-01-15	4.9432
2022-01-16	4.9359
2022-01-17	4.9454
2022-01-18	4.9443
2022-01-19	4.9453
2022-01-20	4.9453
2022-01-21	4.9463
2022-01-22	4.9463
2022-01-23	4.9437
2022-01-24	4.9422
2022-01-25	4.9455
2022-01-26	4.9430
2022-01-27	4.9464
2022-01-28	4.9467
2022-01-29	4.9467
2022-01-30	4.9412
2022-01-31	4.9445
2022-02-01	4.9462
2022-02-02	4.9465
2022-02-03	4.9464
2022-02-04	4.9472
2022-02-05	4.9472
2022-02-06	4.9493
2022-02-07	4.9461
2022-02-08	4.9444
2022-02-09	4.9439
2022-02-10	4.9420
2022-02-11	4.9467
2022-02-12	4.9463
2022-02-13	4.9405
2022-02-14	4.9443
2022-02-15	4.9394
2022-02-16	4.9410
2022-02-17	4.9415
2022-02-18	4.9437
2022-02-19	4.9437
2022-02-20	4.9414
2022-02-21	4.9459
2022-02-22	4.9470
2022-02-23	4.9475
2022-02-24	4.9493
2022-02-25	4.9488
2022-02-26	4.9480
2022-02-27	4.9171
2022-02-28	4.9472
2022-03-01	4.9486
2022-03-02	4.9475
2022-03-03	4.9485
2022-03-04	4.9487
2022-03-05	4.9473
2022-03-06	4.9246
2022-03-07	4.9494
2022-03-08	4.9497
2022-03-09	4.9488
2022-03-10	4.9493
2022-03-11	4.9499
2022-03-12	4.9499
2022-03-13	4.9460
2022-03-14	4.9486
2022-03-15	4.9477
2022-03-16	4.9430
2022-03-17	4.9471
2022-03-18	4.9533
2022-03-19	4.9533
2022-03-20	4.9448
2022-03-21	4.9471
2022-03-22	4.9439
2022-03-23	4.9469
2022-03-24	4.9488
2022-03-25	4.9490
2022-03-26	4.9492
2022-03-27	4.9489
2022-03-28	4.9488
2022-03-29	4.9462
2022-03-30	4.9482
2022-03-31	4.9460
2022-04-01	4.9481
2022-04-02	4.9465
2022-04-03	4.9467
2022-04-04	4.9425
2022-04-05	4.9444
2022-04-06	4.9396
2022-04-07	4.9405
2022-04-08	4.9416
2022-04-09	4.9416
2022-04-10	4.9486
2022-04-11	4.9401
2022-04-12	4.9396
2022-04-13	4.9423
2022-04-14	4.9412
2022-04-15	4.9407
2022-04-16	4.9407
2022-04-17	4.9435
2022-04-18	4.9388
2022-04-19	4.9421
2022-04-20	4.9438
2022-04-21	4.9439
2022-04-22	4.9379
2022-04-23	4.9379
2022-04-24	4.9281
2022-04-25	4.9465
2022-04-26	4.9451
2022-04-27	4.9474
2022-04-28	4.9481
2022-04-29	4.9457
2022-04-30	4.9457
2022-05-01	4.9438
2022-05-02	4.9471
2022-05-03	4.9476
2022-05-04	4.9467
2022-05-05	4.9479
2022-05-06	4.9493
2022-05-07	4.9493
2022-05-08	4.9249
2022-05-09	4.9456
2022-05-10	4.9465
2022-05-11	4.9486
2022-05-12	4.9478
2022-05-13	4.9457
2022-05-14	4.9457
2022-05-15	4.9395
2022-05-16	4.9470
2022-05-17	4.9517
2022-05-18	4.9550
2022-05-19	4.9495
2022-05-20	4.9520
2022-05-21	4.9496
2022-05-22	4.9545
2022-05-23	4.9462
2022-05-24	4.9433
2022-05-25	4.9410
2022-05-26	4.9416
2022-05-27	4.9439
2022-05-28	4.9439
2022-05-29	4.9509
2022-05-30	4.9445
2022-05-31	4.9423
2022-06-01	4.9396
2022-06-02	4.9424
2022-06-03	4.9425
2022-06-04	4.9425
2022-06-05	4.9438
2022-06-06	4.9442
2022-06-07	4.9429
2022-06-08	4.9439
2022-06-09	4.9432
2022-06-10	4.9424
2022-06-11	4.9424
2022-06-12	4.9244
2022-06-13	4.9438
2022-06-14	4.9440
2022-06-15	4.9418
2022-06-16	4.9453
2022-06-17	4.9452
2022-06-18	4.9481
2022-06-19	4.9601
2022-06-20	4.9442
2022-06-21	4.9462
2022-06-22	4.9457
2022-06-23	4.9470
2022-06-24	4.9444
2022-06-25	4.9444
2022-06-26	4.9444
2022-06-27	4.9438
2022-06-28	4.9445
2022-06-29	4.9428
2022-06-30	4.9449
2022-07-01	4.9464
2022-07-02	4.9464
2022-07-03	4.9488
2022-07-04	4.9449
2022-07-05	4.9440
2022-07-06	4.9433
2022-07-07	4.9444
2022-07-08	4.9422
2022-07-09	4.9422
2022-07-10	4.9397
2022-07-11	4.9417
2022-07-12	4.9417
2022-07-13	4.9393
2022-07-14	4.9415
2022-07-15	4.9391
2022-07-16	4.9391
2022-07-17	4.9473
2022-07-18	4.9382
2022-07-19	4.9405
2022-07-20	4.9376
2022-07-21	4.9360
2022-07-22	4.9337
2022-07-23	4.9337
2022-07-24	4.9184
2022-07-25	4.9325
2022-07-26	4.9320
2022-07-27	4.9236
2022-07-28	4.9340
2022-07-29	4.9285
2022-07-30	4.9285
2022-07-31	4.9342
2022-08-01	4.9243
2022-08-02	4.9245
2022-08-03	4.9250
2022-08-04	4.9276
2022-08-05	4.9271
2022-08-06	4.9271
2022-08-07	4.9280
2022-08-08	4.9030
2022-08-09	4.9027
2022-08-10	4.9050
2022-08-11	4.9007
2022-08-12	4.8863
2022-08-13	4.8863
2022-08-14	4.8951
2022-08-15	4.8369
2022-08-16	4.8775
2022-08-17	4.8806
2022-08-18	4.8778
2022-08-19	4.8836
2022-08-20	4.8836
2022-08-21	4.8803
2022-08-22	4.8833
2022-08-23	4.8443
2022-08-24	4.8641
2022-08-25	4.8693
2022-08-26	4.8698
2022-08-27	4.8698
2022-08-28	4.8577
2022-08-29	4.8640
2022-08-30	4.8653
2022-08-31	4.8435
2022-09-01	4.8388
2022-09-02	4.8140
2022-09-03	4.8140
2022-09-04	4.8163
2022-09-05	4.8263
2022-09-06	4.8486
2022-09-07	4.8567
2022-09-08	4.8817
2022-09-09	4.9523
2022-09-10	4.9533
2022-09-11	4.9186
2022-09-12	4.9110
2022-09-13	4.9222
2022-09-14	4.9261
2022-09-15	4.9229
2022-09-16	4.9239
2022-09-17	4.8637
2022-09-18	4.9232
2022-09-19	4.9324
2022-09-20	4.9439
2022-09-21	4.9427
2022-09-22	4.9428
2022-09-23	4.9416
2022-09-24	4.9416
2022-09-25	4.9421
2022-09-26	4.9411
2022-09-27	4.9443
2022-09-28	4.9516
2022-09-29	4.9486
2022-09-30	4.9545
2022-10-01	4.9530
2022-10-02	4.9597
2022-10-03	4.9485
2022-10-04	4.9389
2022-10-05	4.9335
2022-10-06	4.9381
2022-10-07	4.9390
2022-10-08	4.9390
2022-10-09	4.9145
2022-10-10	4.9374
2022-10-11	4.9377
2022-10-12	4.9407
2022-10-13	4.9366
2022-10-14	4.9347
2022-10-15	4.9346
2022-10-16	4.9314
2022-10-17	4.9368
2022-10-18	4.9340
2022-10-19	4.9197
2022-10-20	4.9168
2022-10-21	4.9454
2022-10-22	4.9130
2022-10-23	4.9126
2022-10-24	4.9107
2022-10-25	4.9032
2022-10-26	4.8691
2022-10-27	4.8964
2022-10-28	4.9227
2022-10-29	4.9227
2022-10-30	4.9218
2022-10-31	4.9101
2022-11-01	4.9075
2022-11-02	4.9037
2022-11-03	4.9008
2022-11-04	4.8994
2022-11-05	4.8994
2022-11-06	4.9059
2022-11-07	4.8890
2022-11-08	4.8982
2022-11-09	4.8806
2022-11-10	4.8791
2022-11-11	4.9017
2022-11-12	4.8913
2022-11-13	4.8934
2022-11-14	4.9071
2022-11-15	4.9227
2022-11-16	4.9210
2022-11-17	4.9272
2022-11-18	4.9514
2022-11-19	4.9410
2022-11-20	4.9261
2022-11-21	4.9396
2022-11-22	4.9337
2022-11-23	4.9350
2022-11-24	4.9205
2022-11-25	4.9273
2022-11-26	4.9273
2022-11-27	4.9008
2022-11-28	4.9155
2022-11-29	4.9180
2022-11-30	4.9286
2022-12-01	4.9320
2022-12-02	4.9216
2022-12-03	4.9221
2022-12-04	4.9273
2022-12-05	4.9229
2022-12-06	4.9144
2022-12-07	4.9194
2022-12-08	4.9149
2022-12-09	4.9236
2022-12-10	4.9236
2022-12-11	4.9146
2022-12-12	4.9302
2022-12-13	4.9187
2022-12-14	4.9247
2022-12-15	4.9219
2022-12-16	4.9133
2022-12-17	4.9130
2022-12-18	4.9028
2022-12-19	4.9100
2022-12-20	4.9076
2022-12-21	4.8932
2022-12-22	4.8952
2022-12-23	4.9108
2022-12-24	4.9108
2022-12-25	4.9094
2022-12-26	4.9148
2022-12-27	4.9282
2022-12-28	4.9409
2022-12-29	4.9495
2022-12-30	4.9430
2022-12-31	4.9430
