date	price
2025-01-01	4.8051
2025-01-02	4.8448
2025-01-03	4.825
2025-01-04	4.825
2025-01-05	4.8262
2025-01-06	4.791
2025-01-07	4.8094
2025-01-08	4.8216
2025-01-09	4.8298
2025-01-10	4.8578
2025-01-11	4.8578
2025-01-12	4.8574
2025-01-13	4.8449
2025-01-14	4.8269
2025-01-15	4.8322
2025-01-16	4.8305
2025-01-17	4.8439
2025-01-18	4.8439
2025-01-19	4.8406
2025-01-20	4.7754
2025-01-21	4.7829
2025-01-22	4.7806
2025-01-23	4.777
2025-01-24	4.7416
2025-01-25	4.7416
2025-01-26	4.7538
2025-01-27	4.7646
2025-01-28	4.7705
2025-01-29	4.772
2025-01-30	4.7857
2025-01-31	4.8016
2025-02-01	4.8016
2025-02-02	4.8561
2025-02-03	4.8185
2025-02-04	4.7987
2025-02-05	4.7852
2025-02-06	4.7921
2025-02-07	4.818
2025-02-08	4.818
2025-02-09	4.82
2025-02-10	4.8313
2025-02-11	4.8025
2025-02-12	4.7892
2025-02-13	4.7575
2025-02-14	4.7434
2025-02-15	4.7434
2025-02-16	4.7449
2025-02-17	4.7468
2025-02-18	4.7633
2025-02-19	4.7762
2025-02-20	4.7396
2025-02-21	4.7585
2025-02-22	4.7585
2025-02-23	4.7523
2025-02-24	4.758
2025-02-25	4.7312
2025-02-26	4.7456
2025-02-27	4.788
2025-02-28	4.797
2025-03-01	4.797
2025-03-02	4.7736
2025-03-03	4.7463
2025-03-04	4.6852
2025-03-05	4.6107
2025-03-06	4.6112
2025-03-07	4.5928
2025-03-08	4.5928
2025-03-09	4.5803
2025-03-10	4.5903
2025-03-11	4.5597
2025-03-12	4.5728
2025-03-13	4.5857
2025-03-14	4.5744
2025-03-15	4.5744
2025-03-16	4.576
2025-03-17	4.5587
2025-03-18	4.5495
2025-03-19	4.5617
2025-03-20	4.5842
2025-03-21	4.5995
2025-03-22	4.5995
2025-03-23	4.5997
2025-03-24	4.6056
2025-03-25	4.6118
2025-03-26	4.6323
2025-03-27	4.6088
2025-03-28	4.5967
2025-03-29	4.5967
2025-03-30	4.5976
2025-03-31	4.6017
2025-04-01	4.6102
2025-04-02	4.5648
2025-04-03	4.5055
2025-04-04	4.5431
2025-04-05	4.5431
2025-04-06	4.5267
2025-04-07	4.5609
2025-04-08	4.5344
2025-04-09	4.546
2025-04-10	4.4216
2025-04-11	4.3819
2025-04-12	4.3819
2025-04-13	4.3928
2025-04-14	4.3903
2025-04-15	4.4083
2025-04-16	4.3682
2025-04-17	4.3774
2025-04-18	4.3695
2025-04-19	4.3695
2025-04-20	4.3457
2025-04-21	4.3203
2025-04-22	4.3851
2025-04-23	4.393
2025-04-24	4.377
2025-04-25	4.3808
2025-04-26	4.3808
2025-04-27	4.3837
2025-04-28	4.3638
2025-04-29	4.3703
2025-04-30	4.3965
2025-05-01	4.4069
2025-05-02	4.4053
2025-05-03	4.4053
2025-05-04	4.3971
2025-05-05	4.4008
2025-05-06	4.4872
2025-05-07	4.53
2025-05-08	4.5587
2025-05-09	4.5506
2025-05-10	4.5506
2025-05-11	4.5589
2025-05-12	4.6006
2025-05-13	4.5625
2025-05-14	4.5634
2025-05-15	4.5619
2025-05-16	4.5721
2025-05-17	4.5721
2025-05-18	4.5093
2025-05-19	4.4915
2025-05-20	4.4886
2025-05-21	4.475
2025-05-22	4.4844
2025-05-23	4.4465
2025-05-24	4.4465
2025-05-25	4.4383
2025-05-26	4.449
2025-05-27	4.4479
2025-05-28	4.4963
2025-05-29	4.4407
2025-05-30	4.4596
2025-05-31	4.4596
2025-06-01	4.4527
2025-06-02	4.4192
2025-06-03	4.4432
2025-06-04	4.4206
2025-06-05	4.4085
2025-06-06	4.4269
2025-06-07	4.4269
2025-06-08	4.4214
2025-06-09	4.4139
2025-06-10	4.4013
2025-06-11	4.3662
2025-06-12	4.3332
2025-06-13	4.3431
2025-06-14	4.3431
2025-06-15	4.35
2025-06-16	4.3463
2025-06-17	4.3824
2025-06-18	4.3841
2025-06-19	4.3699
2025-06-20	4.3649
2025-06-21	4.3649
2025-06-22	4.3829
2025-06-23	4.3519
2025-06-24	4.3486
2025-06-25	4.3323
2025-06-26	4.3391
2025-06-27	4.3362
2025-06-28	4.3362
2025-06-29	4.3355
2025-06-30	4.3086
2025-07-01	4.2949
2025-07-02	4.2907
2025-07-03	4.2979
2025-07-04	4.2957
2025-07-05	4.2957
2025-07-06	4.2941
2025-07-07	4.3125
2025-07-08	4.3271
2025-07-09	4.3271
2025-07-10	4.3383
2025-07-11	4.3461
2025-07-12	4.3461
2025-07-13	4.3463
2025-07-14	4.3514
2025-07-15	4.3744
2025-07-16	4.3585
2025-07-17	4.3683
2025-07-18	4.3645
2025-07-19	4.3645
2025-07-20	4.3622
2025-07-21	4.3344
2025-07-22	4.3178
2025-07-23	4.3049
2025-07-24	4.3136
2025-07-25	4.3172
2025-07-26	4.3172
2025-07-27	4.311
2025-07-28	4.3749
2025-07-29	4.3954
2025-07-30	4.4407
2025-07-31	4.4417
2025-08-01	4.379
2025-08-02	4.379
2025-08-03	4.3791
2025-08-04	4.3799
2025-08-05	4.3815
2025-08-06	4.352
2025-08-07	4.3431
2025-08-08	4.3556
2025-08-09	4.3556
2025-08-10	4.3537
2025-08-11	4.3591
2025-08-12	4.3354
2025-08-13	4.3217
2025-08-14	4.344
2025-08-15	4.3255
2025-08-16	4.3255
2025-08-17	4.3275
2025-08-18	4.3351
2025-08-19	4.3456
2025-08-20	4.3386
2025-08-21	4.3522
2025-08-22	4.3116
2025-08-23	4.3116
2025-08-24	4.3151
2025-08-25	4.3507
2025-08-26	4.3454
2025-08-27	4.3498
2025-08-28	4.3418
2025-08-29	4.342
2025-08-30	4.342
2025-08-31	4.3418
2025-09-01	4.3295
2025-09-02	4.3656
2025-09-03	4.353
2025-09-04	4.3547
2025-09-05	4.3313
2025-09-06	4.3313
2025-09-07	4.3073
2025-09-08	4.31
2025-09-09	4.3348
2025-09-10	4.3373
2025-09-11	4.3229
2025-09-12	4.3143
2025-09-13	4.3143
2025-09-14	4.3187
2025-09-15	4.3038
2025-09-16	4.2648
2025-09-17	4.2851
2025-09-18	4.3002
2025-09-19	4.3221
2025-09-20	4.3221
2025-09-21	4.3256
2025-09-22	4.3012
2025-09-23	4.297
2025-09-24	4.3237
2025-09-25	4.3536
2025-09-26	4.3417
2025-09-27	4.3417
2025-09-28	4.339
2025-09-29	4.3313
2025-09-30	4.3291
2025-10-01	4.3332
2025-10-02	4.3379
2025-10-03	4.3337
2025-10-04	4.3337
2025-10-05	4.3442
2025-10-06	4.348
2025-10-07	4.3755
2025-10-08	4.3788
2025-10-09	4.4074
2025-10-10	4.3818
2025-10-11	4.3818
2025-10-12	4.3898
2025-10-13	4.399
2025-10-14	4.3861
2025-10-15	4.3684
2025-10-16	4.3476
2025-10-17	4.3666
2025-10-18	4.3666
2025-10-19	4.3638
2025-10-20	4.3694
2025-10-21	4.3815
2025-10-22	4.3784
2025-10-23	4.376
2025-10-24	4.3734
2025-10-25	4.3734
2025-10-26	4.368
2025-10-27	4.3634
2025-10-28	4.3621
2025-10-29	4.3821
2025-10-30	4.3936
2025-10-31	4.4087
2025-11-01	4.4087
2025-11-02	4.4108
2025-11-03	4.4149
2025-11-04	4.4274
2025-11-05	4.4231
2025-11-06	4.4041
2025-11-07	4.3973
2025-11-08	4.3973
2025-11-09	4.4055
2025-11-10	4.3996
2025-11-11	4.3872
2025-11-12	4.3855
2025-11-13	4.3723
2025-11-14	4.3745
2025-11-15	4.3745
2025-11-16	4.367
2025-11-17	4.3876
2025-11-18	4.3934
2025-11-19	4.4094
2025-11-20	4.412
2025-11-21	4.4204
2025-11-22	4.4204
2025-11-23	4.422
2025-11-24	4.417
2025-11-25	4.4005
2025-11-26	4.3882
2025-11-27	4.3889
2025-11-28	4.3901
2025-11-29	4.3901
2025-11-30	4.3891
2025-12-01	4.3849
2025-12-02	4.3771
2025-12-03	4.3652
2025-12-04	4.3737
2025-12-05	4.3736
2025-12-06	4.3736
2025-12-07	4.3739
2025-12-08	4.373
2025-12-09	4.377
2025-12-10	4.3511
2025-12-11	4.336
2025-12-12	4.3365
2025-12-13	4.3365
2025-12-14	4.3388
2025-12-15	4.3321
2025-12-16	4.3342
2025-12-17	4.3366
2025-12-18	4.3425
2025-12-19	4.3448
2025-12-20	4.3448
2025-12-21	4.3447
2025-12-22	4.3247
2025-12-23	4.3155
2025-12-24	4.3204
2025-12-25	4.3191
2025-12-26	4.3238
2025-12-27	4.3238
2025-12-28	4.3345
2025-12-29	4.3279
2025-12-30	4.3332
2025-12-31	4.3395
