date	price
2023-01-01	4.6264
2023-01-02	4.6159
2023-01-03	4.6769
2023-01-04	4.6487
2023-01-05	4.6859
2023-01-06	4.6298
2023-01-07	4.6298
2023-01-08	4.6404
2023-01-09	4.5946
2023-01-10	4.5952
2023-01-11	4.5897
2023-01-12	4.5517
2023-01-13	4.5653
2023-01-14	4.5653
2023-01-15	4.5653
2023-01-16	4.5544
2023-01-17	4.5723
2023-01-18	4.5729
2023-01-19	4.5428
2023-01-20	4.5267
2023-01-21	4.5267
2023-01-22	4.5438
2023-01-23	4.5209
2023-01-24	4.5141
2023-01-25	4.4838
2023-01-26	4.4754
2023-01-27	4.5069
2023-01-28	4.5069
2023-01-29	4.5074
2023-01-30	4.5285
2023-01-31	4.5295
2023-02-01	4.4601
2023-02-02	4.4976
2023-02-03	4.5309
2023-02-04	4.5309
2023-02-05	4.5387
2023-02-06	4.5645
2023-02-07	4.5607
2023-02-08	4.5694
2023-02-09	4.5550
2023-02-10	4.5880
2023-02-11	4.5879
2023-02-12	4.5877
2023-02-13	4.5660
2023-02-14	4.5650
2023-02-15	4.5821
2023-02-16	4.5918
2023-02-17	4.5906
2023-02-18	4.5907
2023-02-19	4.5999
2023-02-20	4.6019
2023-02-21	4.6193
2023-02-22	4.6354
2023-02-23	4.6388
2023-02-24	4.6668
2023-02-25	4.6656
2023-02-26	4.6637
2023-02-27	4.6458
2023-02-28	4.6572
2023-03-01	4.6119
2023-03-02	4.6455
2023-03-03	4.6314
2023-03-04	4.6315
2023-03-05	4.6335
2023-03-06	4.6029
2023-03-07	4.6624
2023-03-08	4.6560
2023-03-09	4.6421
2023-03-10	4.6190
2023-03-11	4.6190
2023-03-12	4.6010
2023-03-13	4.5886
2023-03-14	4.5888
2023-03-15	4.6451
2023-03-16	4.6340
2023-03-17	4.6154
2023-03-18	4.6154
2023-03-19	4.6108
2023-03-20	4.5930
2023-03-21	4.5694
2023-03-22	4.5264
2023-03-23	4.5452
2023-03-24	4.5812
2023-03-25	4.5812
2023-03-26	4.5751
2023-03-27	4.5746
2023-03-28	4.5675
2023-03-29	4.5701
2023-03-30	4.5415
2023-03-31	4.5638
2023-04-01	4.5638
2023-04-02	4.5801
2023-04-03	4.5273
2023-04-04	4.5004
2023-04-05	4.5244
2023-04-06	4.5221
2023-04-07	4.5269
2023-04-08	4.5235
2023-04-09	4.5226
2023-04-10	4.5367
2023-04-11	4.5215
2023-04-12	4.4901
2023-04-13	4.4680
2023-04-14	4.4944
2023-04-15	4.4944
2023-04-16	4.4993
2023-04-17	4.5212
2023-04-18	4.4987
2023-04-19	4.5010
2023-04-20	4.4965
2023-04-21	4.4915
2023-04-22	4.4915
2023-04-23	4.4852
