date	price
2021-01-01	1.2176
2021-01-02	1.2135
2021-01-03	1.2250
2021-01-04	1.2252
2021-01-05	1.2299
2021-01-06	1.2340
2021-01-07	1.2271
2021-01-08	1.2220
2021-01-09	1.2225
2021-01-10	1.2187
2021-01-11	1.2159
2021-01-12	1.2207
2021-01-13	1.2162
2021-01-14	1.2151
2021-01-15	1.2075
2021-01-16	1.2079
2021-01-17	1.2067
2021-01-18	1.2077
2021-01-19	1.2140
2021-01-20	1.2115
2021-01-21	1.2166
2021-01-22	1.2174
2021-01-23	1.2174
2021-01-24	1.2168
2021-01-25	1.2142
2021-01-26	1.2163
2021-01-27	1.2104
2021-01-28	1.2122
2021-01-29	1.2139
2021-01-30	1.2137
2021-01-31	1.2124
2021-02-01	1.2068
2021-02-02	1.2039
2021-02-03	1.2039
2021-02-04	1.1967
2021-02-05	1.2049
2021-02-06	1.2049
2021-02-07	1.2050
2021-02-08	1.2052
2021-02-09	1.2118
2021-02-10	1.2118
2021-02-11	1.2132
2021-02-12	1.2120
2021-02-13	1.2120
2021-02-14	1.2122
2021-02-15	1.2132
2021-02-16	1.2092
2021-02-17	1.2045
2021-02-18	1.2093
2021-02-19	1.2118
2021-02-20	1.2118
2021-02-21	1.2126
2021-02-22	1.2166
2021-02-23	1.2153
2021-02-24	1.2170
2021-02-25	1.2159
2021-02-26	1.2072
2021-02-27	1.2072
2021-02-28	1.2088
2021-03-01	1.2048
2021-03-02	1.2085
2021-03-03	1.2051
2021-03-04	1.1966
2021-03-05	1.1916
2021-03-06	1.1916
2021-03-07	1.1924
2021-03-08	1.1852
2021-03-09	1.1897
2021-03-10	1.1924
2021-03-11	1.1982
2021-03-12	1.1953
2021-03-13	1.1953
2021-03-14	1.1951
2021-03-15	1.1926
2021-03-16	1.1902
2021-03-17	1.1981
2021-03-18	1.1918
2021-03-19	1.1947
2021-03-20	1.1947
2021-03-21	1.1884
2021-03-22	1.1930
2021-03-23	1.1837
2021-03-24	1.1814
2021-03-25	1.1777
2021-03-26	1.1794
2021-03-27	1.1794
2021-03-28	1.1787
2021-03-29	1.1768
2021-03-30	1.1723
2021-03-31	1.1728
2021-04-01	1.1776
2021-04-02	1.1760
2021-04-03	1.1759
2021-04-04	1.1767
2021-04-05	1.1817
2021-04-06	1.1873
2021-04-07	1.1872
2021-04-08	1.1916
2021-04-09	1.1901
2021-04-10	1.1901
2021-04-11	1.1904
2021-04-12	1.1913
2021-04-13	1.1955
2021-04-14	1.1983
2021-04-15	1.1969
2021-04-16	1.1982
2021-04-17	1.1982
2021-04-18	1.1974
2021-04-19	1.2042
2021-04-20	1.2035
2021-04-21	1.2038
2021-04-22	1.2014
2021-04-23	1.2098
2021-04-24	1.2097
2021-04-25	1.2092
2021-04-26	1.2081
2021-04-27	1.2090
2021-04-28	1.2135
2021-04-29	1.2125
2021-04-30	1.2020
2021-05-01	1.2020
2021-05-02	1.2030
2021-05-03	1.2058
2021-05-04	1.2015
