date	price
2019-01-01	1.1467
2019-01-02	1.1463
2019-01-03	1.1312
2019-01-04	1.1391
2019-01-05	1.1395
2019-01-06	1.1395
2019-01-07	1.1410
2019-01-08	1.1479
2019-01-09	1.1457
2019-01-10	1.1555
2019-01-11	1.1507
2019-01-12	1.1469
2019-01-13	1.1469
2019-01-14	1.1461
2019-01-15	1.1472
2019-01-16	1.1414
2019-01-17	1.1398
2019-01-18	1.1392
2019-01-19	1.1370
2019-01-20	1.1370
2019-01-21	1.1366
2019-01-22	1.1369
2019-01-23	1.1362
2019-01-24	1.1386
2019-01-25	1.1313
2019-01-26	1.1414
2019-01-27	1.1414
2019-01-28	1.1412
2019-01-29	1.1429
2019-01-30	1.1436
2019-01-31	1.1485
2019-02-01	1.1445
2019-02-02	0.8786
2019-02-03	0.8786
2019-02-04	0.8786
2019-02-05	1.1436
2019-02-06	1.1412
2019-02-07	1.1366
2019-02-08	1.1340
2019-02-09	1.1330
2019-02-10	1.1330
2019-02-11	1.1330
2019-02-12	1.1276
2019-02-13	1.1335
2019-02-14	1.1268
2019-02-15	1.1297
2019-02-16	1.1303
2019-02-17	1.1303
2019-02-18	1.1303
2019-02-19	1.1312
2019-02-20	1.1340
2019-02-21	1.1346
2019-02-22	1.1344
2019-02-23	1.1346
2019-02-24	1.1346
2019-02-25	1.1344
2019-02-26	1.1364
2019-02-27	1.1393
2019-02-28	1.1380
2019-03-01	1.1374
2019-03-02	1.1379
2019-03-03	1.1379
2019-03-04	1.1377
2019-03-05	1.1339
2019-03-06	1.1310
2019-03-07	1.1313
2019-03-08	1.1197
2019-03-09	1.1235
2019-03-10	1.1235
2019-03-11	1.1232
2019-03-12	1.1258
2019-03-13	1.1287
2019-03-14	1.1334
2019-03-15	1.1308
2019-03-16	1.1338
2019-03-17	1.1329
2019-03-18	1.1323
2019-03-19	1.1337
2019-03-20	1.1354
2019-03-21	1.1427
2019-03-22	1.1375
2019-03-23	1.1315
2019-03-24	1.1315
2019-03-25	1.1296
2019-03-26	1.1315
2019-03-27	1.1275
2019-03-28	1.1252
2019-03-29	1.1229
2019-03-30	1.1226
2019-03-31	1.1219
2019-04-01	1.1224
