date	price
2024-01-01	4.9719
2024-01-02	4.9708
2024-01-03	4.9714
2024-01-04	4.9745
2024-01-05	4.9752
2024-01-06	4.9752
2024-01-07	4.9688
2024-01-08	4.9718
2024-01-09	4.9722
2024-01-10	4.9723
2024-01-11	4.9726
2024-01-12	4.9732
2024-01-13	4.9732
2024-01-14	4.9732
2024-01-15	4.9741
2024-01-16	4.9770
2024-01-17	4.9763
2024-01-18	4.9769
2024-01-19	4.9796
2024-01-20	4.9796
2024-01-21	4.9771
2024-01-22	4.9765
2024-01-23	4.9767
2024-01-24	4.9768
2024-01-25	4.9759
2024-01-26	4.9786
2024-01-27	4.9786
2024-01-28	4.9695
2024-01-29	4.9773
2024-01-30	4.9766
2024-01-31	4.9750
2024-02-01	4.9717
2024-02-02	4.9728
2024-02-03	4.9728
2024-02-04	4.9674
2024-02-05	4.9747
2024-02-06	4.9765
2024-02-07	4.9767
2024-02-08	4.9773
2024-02-09	4.9781
2024-02-10	4.9781
2024-02-11	4.9825
2024-02-12	4.9760
2024-02-13	4.9768
2024-02-14	4.9761
2024-02-15	4.9773
2024-02-16	4.9770
2024-02-17	4.9770
2024-02-18	4.9828
2024-02-19	4.9770
2024-02-20	4.9751
2024-02-21	4.9765
2024-02-22	4.9764
2024-02-23	4.9767
2024-02-24	4.9767
2024-02-25	4.9741
2024-02-26	4.9712
2024-02-27	4.9669
2024-02-28	4.9680
2024-02-29	4.9585
2024-03-01	4.9696
2024-03-02	4.9696
2024-03-03	4.9702
2024-03-04	4.9718
2024-03-05	4.9724
2024-03-06	4.9706
2024-03-07	4.9699
2024-03-08	4.9673
2024-03-09	4.9673
2024-03-10	4.9657
2024-03-11	4.9673
2024-03-12	4.9675
2024-03-13	4.9700
2024-03-14	4.9719
2024-03-15	4.9716
2024-03-16	4.9716
2024-03-17	4.9691
2024-03-18	4.9721
2024-03-19	4.9733
2024-03-20	4.9726
2024-03-21	4.9731
2024-03-22	4.9793
2024-03-23	4.9793
2024-03-24	4.9708
2024-03-25	4.9704
2024-03-26	4.9700
2024-03-27	4.9729
2024-03-28	4.9713
2024-03-29	4.9702
2024-03-30	4.9715
2024-03-31	4.9715
2024-04-01	4.9688
2024-04-02	4.9705
2024-04-03	4.9702
2024-04-04	4.9687
2024-04-05	4.9686
2024-04-06	4.9686
2024-04-07	4.9670
2024-04-08	4.9681
2024-04-09	4.9683
2024-04-10	4.9690
2024-04-11	4.9716
2024-04-12	4.9759
2024-04-13	4.9759
