date	price
2020-01-01	1.1213
2020-01-02	1.1219
2020-01-03	1.1170
2020-01-04	1.1158
2020-01-05	1.1158
2020-01-06	1.1161
2020-01-07	1.1195
2020-01-08	1.1153
2020-01-09	1.1113
2020-01-10	1.1109
2020-01-11	1.1122
2020-01-12	1.1122
2020-01-13	1.1117
2020-01-14	1.1134
2020-01-15	1.1128
2020-01-16	1.1153
2020-01-17	1.1138
2020-01-18	1.1089
2020-01-19	1.1089
2020-01-20	1.1095
2020-01-21	1.1097
2020-01-22	1.1085
2020-01-23	1.1096
2020-01-24	1.1055
2020-01-25	1.1025
2020-01-26	1.1025
2020-01-27	1.1025
2020-01-28	1.1019
2020-01-29	1.1022
2020-01-30	1.1013
2020-01-31	1.1029
2020-02-01	1.1096
2020-02-02	1.1096
2020-02-03	1.1090
2020-02-04	1.1062
2020-02-05	1.1044
2020-02-06	1.1000
2020-02-07	1.0981
2020-02-08	1.0946
2020-02-09	1.0946
2020-02-10	1.0949
2020-02-11	1.0910
2020-02-12	1.0919
2020-02-13	1.0875
2020-02-14	1.0842
2020-02-15	1.0831
2020-02-16	1.0831
2020-02-17	1.0841
2020-02-18	1.0837
2020-02-19	1.0795
2020-02-20	1.0809
2020-02-21	1.0787
2020-02-22	1.0845
2020-02-23	1.0845
2020-02-24	1.0838
2020-02-25	1.0849
2020-02-26	1.0880
2020-02-27	1.0886
2020-02-28	1.0997
2020-02-29	1.1026
2020-03-01	1.1026
2020-03-02	1.1052
2020-03-03	1.1143
2020-03-04	1.1176
2020-03-05	1.1139
2020-03-06	1.1223
2020-03-07	1.1288
2020-03-08	1.1288
2020-03-09	1.1386
2020-03-10	1.1399
2020-03-11	1.1316
2020-03-12	1.1262
2020-03-13	1.1183
2020-03-14	1.1106
2020-03-15	1.1106
2020-03-16	1.1154
2020-03-17	1.1160
2020-03-18	1.1017
2020-03-19	1.0951
2020-03-20	1.0656
2020-03-21	1.0700
2020-03-22	1.0700
2020-03-23	1.0694
2020-03-24	1.0764
2020-03-25	1.0799
2020-03-26	1.0889
2020-03-27	1.1049
2020-03-28	1.1137
2020-03-29	1.1137
2020-03-30	1.1137
2020-03-31	1.1030
2020-04-01	1.1027
2020-04-02	1.0953
2020-04-03	1.0847
2020-04-04	1.0805
2020-04-05	1.0805
2020-04-06	1.0806
2020-04-07	1.0801
2020-04-08	1.0895
2020-04-09	1.0861
2020-04-10	1.0925
2020-04-11	1.0937
2020-04-12	1.0937
2020-04-13	1.0932
2020-04-14	1.0921
2020-04-15	1.0985
2020-04-16	1.0905
2020-04-17	1.0858
2020-04-18	1.0872
2020-04-19	1.0872
2020-04-20	1.0866
2020-04-21	1.0864
2020-04-22	1.0855
2020-04-23	1.0807
2020-04-24	1.0774
2020-04-25	1.0825
2020-04-26	1.0825
2020-04-27	1.0821
2020-04-28	1.0821
2020-04-29	1.0835
2020-04-30	1.0876
2020-05-01	1.0946
2020-05-02	1.0979
2020-05-03	1.0979
2020-05-04	1.0960
2020-05-05	1.0903
2020-05-06	1.0838
2020-05-07	1.0798
2020-05-08	1.0836
2020-05-09	1.0838
2020-05-10	1.0838
2020-05-11	1.0838
2020-05-12	1.0808
2020-05-13	1.0848
2020-05-14	1.0823
2020-05-15	1.0807
2020-05-16	1.0820
2020-05-17	1.0820
2020-05-18	1.0819
2020-05-19	1.0916
2020-05-20	1.0928
2020-05-21	1.0980
2020-05-22	1.0950
2020-05-23	1.0903
2020-05-24	1.0903
2020-05-25	1.0908
2020-05-26	1.0901
2020-05-27	1.0979
2020-05-28	1.1016
2020-05-29	1.1079
2020-05-30	1.1104
2020-05-31	1.1104
2020-06-01	1.1118
2020-06-02	1.1125
2020-06-03	1.1186
2020-06-04	1.1237
2020-06-05	1.1339
2020-06-06	1.1292
2020-06-07	1.1292
2020-06-08	1.1319
2020-06-09	1.1305
2020-06-10	1.1332
2020-06-11	1.1366
2020-06-12	1.1289
2020-06-13	1.1258
2020-06-14	1.1258
2020-06-15	1.1252
2020-06-16	1.1337
2020-06-17	1.1267
2020-06-18	1.1243
2020-06-19	1.1208
2020-06-20	1.1181
2020-06-21	1.1181
2020-06-22	1.1178
2020-06-23	1.1278
2020-06-24	1.1312
2020-06-25	1.1250
2020-06-26	1.1218
2020-06-27	1.1220
2020-06-28	1.1220
2020-06-29	1.1283
2020-06-30	1.1194
2020-07-01	1.1223
2020-07-02	1.1254
2020-07-03	1.1240
2020-07-04	1.1246
2020-07-05	1.1247
2020-07-06	1.1289
2020-07-07	1.1311
2020-07-08	1.1273
2020-07-09	1.1337
2020-07-10	1.1285
2020-07-11	1.1299
2020-07-12	1.1299
2020-07-13	1.1307
2020-07-14	1.1346
2020-07-15	1.1405
2020-07-16	1.1412
2020-07-17	1.1426
2020-07-18	1.1426
2020-07-19	1.1417
2020-07-20	1.1439
2020-07-21	1.1455
2020-07-22	1.1539
2020-07-23	1.1566
2020-07-24	1.1597
2020-07-25	1.1654
2020-07-26	1.1654
2020-07-27	1.1654
2020-07-28	1.1722
2020-07-29	1.1791
2020-07-30	1.1841
2020-07-31	1.1777
